Email,PWD,Name,Interest1,Interest2,Interest3,Clubs
neha.sharma@tamu.edu,ABCDE,Neha Sharma,Advocacy,Agriculture,Architecture,"1st Group Staff, Agape Family Medicine Clinic, Aggie Club of Engineers"
mei.patel@tamu.edu,WFAMGFoiEC,Mei Patel,Gaming,Sorority,Acting,"Squadron 12, League of United Latin American Citizens Council 22424"
chen.patel@tamu.edu,y41H8HoGtv,Chen Patel,Politics,Education,Agriculture,"Epic Movement, TAMUG Table Tennis"
emily.johnson@tamu.edu,0JFKqiSqEa,Emily Johnson,Marine,Law,Consulting,"TAMUG Corps of Cadets Alpha 2, Physical Therapy Society, 1st Regiment, A Battery"
neha.joshi@tamu.edu,oFMATiMOl3,Neha Joshi,Performance,Acting,Service,"Aggie Kolbitar Society, TAMUG Buddies, Institute for the Development and Education of Asian American Leaders"
ishita.li@tamu.edu,SQn9aJ0Kmf,Ishita Li,International,Service,Advocacy,"Alpha Gamma Rho Fraternity, Japanese Culture Association, Recreational Sports, Texas A&M Medical Student Veterans Association, The Aggie Arthouse"
li.sharma@tamu.edu,WxJU5wDE2QQ,Li Sharma,Agriculture,Architecture,Athletic,"12th Law Man, 1st Battalion Staff, 1st Brigade"
james.lee@tamu.edu,kJu8XemPKh,James Lee,Recreation,Advocacy,Spiritual,"12th Law Man, 1st Battalion Staff, 1st Brigade, 3rd Battalion Staff, 1st Wing, Aggie Doc Musicians: Rhythms and Remedies"
david.joshi@tamu.edu,T9UsOfrtEs,David Joshi,Engineering,Music,Visualisation,"TAMUG Women's Soccer Club, TAMUG Women in Maritime Operations"
jia.li@tamu.edu,yV2wmU8Njb,Jia Li,Agriculture,Social,Engineering,"Statistics Graduate Student Association, McAllen Agricultural Economics Club, TAMUG Aquatic Robotics Team (TART)"
ishita.zhao@tamu.edu,JPnbxaBiZe,Ishita Zhao,Marine,Consulting,International,"Christian Veterinary Fellowship, The Round Table Talk"
chen.wang@tamu.edu,CVG876waW8,Chen Wang,Social,Career,Engineering,"Underwood Hall Community Council, Global Medical Brigades, TAMUG Yell Leaders, Texas A&M Secular Student Alliance, Phi Lambda Upsilon"
aarav.smith@tamu.edu,8i8YUspDQ5,Aarav Smith,Residence,Research,Business,"Bush School International City Management Association Chapter, Student Veterinary Emergency and Critical Care Society"
emily.thomas@tamu.edu,quD3YVXenr,Emily Thomas,Service,Marine,Community,"Mechanical Engineering Female Grad Students, Progressively Reaching Excellence in Professionalism, DJ's of Aggieland, Texas A&M PreDental Society, Delta Zeta"
chen.zhang@tamu.edu,kUQZ3imIKE,Chen Zhang,Entertainment,Consulting,Unity,"Squadron 3, TAMUG Circle K, Texas A&M Iron Spikes, Veterinarians Without Borders"
james.brown@tamu.edu,N12N8aajwS,James Brown,Sorority,Acting,Architecture,"Aggie Business Brothers, Texas A&M Micromouse, Aggies All Booked"
james.joshi@tamu.edu,FSZc0xMlVo,James Joshi,Sorority,Interest,Support,"Aggieland Mariachi, MORPH, Aggie Data Science Club, Christian Healthcare Leaders, Company G-1"
david.zhang@tamu.edu,AscozyNVB2,David Zhang,Engineering,Education,Advocacy,"Family Law Student Association, National Association of Home Builders, OUTLaw, Aggie Actuaries, TAMSA Class of 2026"
sophia.liu@tamu.edu,nwsjTrIIQN,Sophia Liu,Governance,Visualisation,Development,"Texas A&M College of Dentistry American Student Dental Association (Texas A&M ASDA), Friends of MSF at Texas A&M University, Thrive, TAMUG Buddies"
david.sharma@tamu.edu,IlRi2huu3f,David Sharma,Veterinary,Visualisation,Traditions,"Texas A&M IHSA Equestrian Team, Diamond Darlings, TAMU Sahithya"
wei.kumar@tamu.edu,NTmAqHz5Wj,Wei Kumar,Politics,Architecture,Technical,"Aggie Southern Darlings, Global Medical Brigades, Texas A&M University Women's Soccer Club"
sophia.zhao@tamu.edu,bCoJtM5n3n,Sophia Zhao,Acting,Education,Honors,"Cepheid Variable, TAMU Associated General Contractors, United Campus Ministry in Aggieland"
li.taylor@tamu.edu,42sYBEQj2y,Li Taylor,Service,Architecture,Fraternity,"Aggie Musical Theater Club, Business Honors Association, Kappa Alpha Theta"
